자치구,총검거율,살인검거율,강도검거율,강간·강제추행검거율,절도검거율,폭력검거율
동작구,0.637,1.500,1.000,0.505,0.492,0.786
관악구,0.699,0.800,0.889,0.853,0.534,0.805
