빌라,월세(만원),보증금(만원),면적,층,주소
JCSTUDIO,33,"10,000",20.59,11,신림동 1432-101
좋은집,32,500,15.43,4,신림동 103-207
원앙빌라B,30,"10,000",59.96,-1,신림동 1418-2
신림서희빌(1446-3),30,"7,000",32.1,5,신림동 1446-3
파크빌,30,"20,000",26.2,7,신림동 1418-39
다솜그랑빌,30,"26,000",51.78,2,신림동 1491-13
신남,30,"8,000",29.66,2,신림동 546-29
클래스트,30,"25,700",41.97,2,신림동 599-25
클래스트,30,"25,700",41.97,2,신림동 599-25
이제스홀,25,"20,000",40.59,2,신림동 1636-49
천년캐슬,25,"14,300",29.47,2,신림동 409-224
프레미오,25,500,46.8,4,신림동 750-38
AugustTower,23,"15,800",15.7,7,신림동 1427-15
센트레빌,20,"10,000",21.5,3,신림동 511-27
(1510-1),20,"20,500",53.55,3,신림동 1510-1
(102-60),20,"13,000",43.23,2,신림동 102-60
(498-49),20,"18,000",59.19,1,신림동 498-49
서림도시형생활주택,20,"2,000",12.32,5,신림동 94-36
풍원하임빌,20,"23,500",28.87,5,신림동 1741
풍원하임빌,20,"23,500",28.87,5,신림동 1741
글로리하우스,17,"20,790",24.11,3,신림동 750-24
글로리하우스,17,"20,790",24.11,3,신림동 750-24
(95-68),15,"11,000",39.54,3,신림동 95-68
아원빌,15,"20,400",48.24,2,신림동 610-76
(1573-33),14,"17,800",41.04,2,신림동 1573-33
AugustTower,13,"14,500",13.4,5,신림동 1427-15
(412-358),13,"10,000",36.71,1,신림동 412-358
모던(646-244),12,"10,000",50.28,1,신림동 646-244
Jin.H,10,"15,500",21.82,2,신림동 536-11
대원빌라,10,"13,000",42.48,2,신림동 92-178
산마루빌,10,"14,800",25.22,4,신림동 415-46
전원주택,10,"12,000",37.86,3,신림동 92-74
(409-151),10,"14,000",52.46,2,신림동 409-151
(685-25),10,"12,500",44.21,1,신림동 685-25
센트라노신림,10,"23,000",25.99,5,신림동 409-3
장원빌,8,"12,000",22.8,2,신림동 532-7
다솜시티빌,7,"22,500",16.38,5,신림동 1418-28
하나빌리지,5,"3,500",14.05,3,신림동 10-423
성안빌딩(1667-1),5,"10,000",14.77,6,신림동 1667-1
이지비아,5,"21,050",27.81,7,신림동 1460-37
한빛하우스3차(1564-5),5,"18,300",58,2,신림동 1564-5
서진(1595-4),4,"8,000",19.24,3,신림동 1595-4
하늘명가,3,"20,928",50.3,3,신림동 1491-26
무궁화빌,3,"23,000",39.39,2,신림동 484-27
오렌지하임(1681-16),110,"4,000",29.54,3,봉천동 1681-16
다솜빌,100,"5,000",23,6,봉천동 649-7
다세대주택(887-7),100,"5,000",29.47,4,봉천동 887-7
